Study Title,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
Effects of a Spiced Meat Patty on Inflammation in Men With Type 2 Diabetes,"The protocol is designed to study the effect of spice on MDA production in hamburg meat, 2 days",,
A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.25/500mg in Healthy Male Volunteers,"AUClast of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Cmax of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|AUClast of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 24 and 48hrs|Cmax of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 24 and 48hrs","AUCinf of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Tmax of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|t1/2 of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|CL/F of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Vd/F of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|AUCinf of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 24 and 48hrs|Tmax of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 24 and 48hrs|t1/2 of Lobeglitazone, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 24 and 48hrs|CL/F of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 24 and 48hrs|Vd/F of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 24 and 48hrs",
Investigate the Effect of Food on the Pharmacokinetic Characteristics of CKD-395 in Healthy Male Volunteers,"AUClast of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|AUClast of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Cmax of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Cmax of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs","AUCinf of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|AUCinf of Metformin, 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Tmax of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|t1/2 of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|CL/F of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Vd/F of Lobeglitazone, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Tmax of Metformin, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|t1/2 of Metformin, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|CL/F of Metformin, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Vd/F of Metformin, 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs",
A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.25/750 mg in Healthy Male Volunteers,"AUClast of Lobeglitazone, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|AUClast of metformin, Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Cmax of Lobeglitazone, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Cmax of Lobeglitazone Metformin, Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs","AUCinf of Lobeglitazone, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|AUCinf of Metformin, Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Tmax of Lobeglitazone, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Tmax of Metformin, Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|t1/2 of Lobeglitazone, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|t1/2 of Metformin, Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|CL/F of Lobeglitazone, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|CL/F of Metformin, Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Vd/F of Lobeglitazone, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs|Vd/F of Metformin, Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs",
A Clinical Study to Compare the Pharmacokinetic Characteristics of CKD-395 0.5/1000 mg in Healthy Male Volunteers,"AUClast of Lobeglitazon and metformin, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs / Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Cmax of Lobeglitazon and metformin, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs / Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs","AUCinf of Lobeglitazon and metformin, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs / Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Tmax of Lobeglitazon and metformin, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs / Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|t1/2 of Lobeglitazon and metformin, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs / Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|CL/F of Lobeglitazon and metformin, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs / Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs|Vd/F of Lobeglitazon and metformin, Lobeglitazone: 0(Pre-dose), 0.25, 0.5, 0.75, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 48hrs / Metformin: 0(Pre-dose), 0.5, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 24 and 48hrs",
Effect of Coherent Breathing on Elderly Quality of Life,"Tinetti Performance Oriented Mobility Assessment (POMA), Evaluating tests of balance and gait

Description:

The Tinetti assessment tool is an easily administered task-oriented test that measures an older adult's Scoring: A three-point ordinal scale, ranging from 0-2. ""0"" indicates the highest level of impairment and ""2"" the individuals independence. Total Balance Score = 16 Total Gait Score = 12 Total Test Score = 28 Interpretation: 25-28 = low fall risk 19-24 = medium fall risk \< 19 = high fall risk, 12 weeks|The five Times Sit to Stand Test, Evaluating fall risk, 12 weeks|The muscle quality index (MQI), Evaluating age-related alterations in muscle function, 12 weeks|The Geriatric Depression Scale (GDS), Evaluating psychological aspect Of the 15 items, 10 indicated the presence of depression when answered positively, while the rest (question numbers 1, 5, 7, 11, 13) indicated depression when answered negatively. Scores of 0-4 are considered normal, depending on age, education, and complaints; 5-8 indicate mild depression; 9-11 indicate moderate depression; and 12-15 indicate severe depression., 12 weeks|The 6 minutes' walk test (6MWT), Evaluating aerobic fitness, 12 weeks|Short form Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE), Evaluating cognitive decline

* Minimum score: 16
* Maximum score: 80
* High score means worse outcome., 12 weeks|Evaluation of oxygen saturation (SPO2) and heart rate (HR), By using the pulse oximeter., 12 weeks","Modified Borg Dyspnoea Scale, Evaluating level of exertion during exercise It starts at number 0 where your breathing is causing you no difficulty at all and progresses through to number 10 where your breathing difficulty is maximal, 12 weeks|Evaluation of forced expiratory volume at one second (FEV1) and maximum voluntary ventilation (MVV), By using spirometry, 12 weeks",
Peanut Consumption and Cardiovascular Disease Risk in a Chinese Population,"Blood glucose, glucose, insulin, HbA1c, Blood glucose will be measured at day 84.","Blood lipids level, cholesterol and triglyceride levels, Blood lipids level will be measured at day 84.|Blood Inflammatory status, Inflammatory biomarkers, Inflammatory biomarkers will be measured at day 84.|Assessment of appetite and other hunger sensations, Appetite and other hunger sensations will be assessed using visual analogue scales, Appetite and other hunger sensations will be measured at day 84.|Microbiome, fecal microbiome (subset) A subset of study subjects will be measured for fecal microbiome functionality., Micriobiome will be measured at day 84.|Polyphenol metabolites, Urinary polyphenol metabolites (subset), Polyphenol metabolites will be measured at day 84.",
A Study to Assess the Efficacy and Safety of ASP1941 in Combination With Metformin in Asian Diabetes Patients,"Change in HbA1c from baseline to end of treatment, Baseline and up to 24 weeks","Change in fasting plasma glucose level, Baseline and up to 24 weeks|Change in fasting serum insulin level, Baseline and up to 24 weeks|Change in body weight, Baseline and up to 24 weeks|Change in waist circumference, Baseline and up to 24 weeks|Safety assessed by the incidence of adverse events, vital signs safety labo-tests and 12-lead ECG, For 24 weeks",
Diabetes Mellitus Community Based Screening in Minority Populations,,,
A Study of MK0431 in Patients With Type 2 Diabetes (0431-010),"To asses the effectiveness of MK0431 compared to placebo, over 12 weeks",To test the safety and tolerability of MK0431 in patients with type 2 diabetes,
Using a Motivational Interviewing (MI) Informed Text Messaging Program to Lower Blood Sugar in Diabetic Patients.,"hemoglobin A1C, three months","PAM scale, 3 months","Summary of Diabetes Self-Care Activities, 3 months"
"A Clinical Study to Evaluate Safety, Tolerability and Pharmacokinetics of Oral HMS5552 in Healthy Volunteers","Safety and tolerability of HMS5552 will be assessed by adverse event monitoring, physical examinations, 12 lead ECGs, vital sign, and safety laboratory measurements., up to 72 hours post-dose","The single dose pharmacokinetics of HMS5552 will be described by estimating parameters of AUCinf, AUC0-t, Cmax, Tmax, Ae, T1/2., Plasma will be collected at predose, 0.25, 0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4, 5, 6, 8, 12, 16, 24, 36, 48 and 72 hour post-dose. Urine will be collected at predose, 0 to 4, 4 to 8, 8 to 12, 12 to 24, 24 to 36, 36 to 48, and 48 to 72 hour post-dose., up to 72 hours post-dose|Pharmacodynamic variables will include maximum change (%) in fasting plasma glucose level, AUC0-4 of fasting plasma glucose , AUC of percent reduction in fasting plasma glucose from baseline versus time curve, time of minimum glucose level, up to 6 hours post-dose",
Efficacy and Safety Study of JTT-654 in Type 2 Diabetic Patients,"Change in Fasting Plasma Glucose (FPG) levels, 3 months","Change in glycosylated hemoglobin (HbA1c) levels, 3 months|Effect on glycated albumin, insulin, C-peptide, glucagon and lipid parameters, 3 months|Safety (biochemistry, hematology, urinalysis and adrenal-related markers) and tolerability (adverse events), 3 months",
Vildagliptin Glycemic Profiles Assessment Using a Continuous Glucose Monitoring Device.,"Change in Glycemic profiles between vildagliptin and glimepiride, Baseline and treatment Day 5, 24hr continuous glucose measurements","Glucose Fluctuation before and during treatment, Baseline and treatment Day 5, 24hr continuous measurements",
Safety and Efficacy Study of JTT-130 in Obese Type 2 Diabetic Patients,"Change in glycosylated hemoglobin (HbA1c) levels, End of Study","Safety and tolerability data, End of Study",
Empagliflozin Reduces Progression of Diabetic Retinopathy in Patients With High Risk of Diabetic Macular Edema,"Microaneurysm formation rate over 12 months, i.e. number of newly developed microaneurysms within 12 months, Weeks 27 and 52","Change in diabetic retinopathy stage (≥ 2 step change on ETDRS severity score), Weeks 27 and 52|Change in microaneurysm count, Weeks 27 and 52|Microaneurysm formation rate after 6 months (compared to baseline), after 6 months|Change in retinal thickness (as measured by Optical Coherence Tomography), Weeks 27 and 52|Change in retinal perfusion of microvasculature within the retina (flow in Optical Coherence Tomography Angiography), Weeks 27 and 52|Progression to clinically significant macular edema (CSME), Up to 52 weeks|Change in intraocular lipid content (hard exsudates), Weeks 27 and 52|Change in composite clinical outcome evaluating progression to proliferative diabetic retinopathy (PDR) based on photography, angiography plus clinically important events defining PDR (e.g. vitreous haemorrhage), Weeks 27 and 52|Change in best corrected visual acuity (BCVA [ETDRS letters]), Weeks 27 and 52|Change in HbA1c, Weeks 2, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52 and 55|Change in fasting glucose, Weeks 2, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52 and 55|Change in body weight and body fat mass, Weeks 27, 52 and 55|Change in ambulatory blood pressure, Weeks 27 and 52",
"The Effect of n-3 Fatty Acid Supplementation on Serum Levels, and Gene Expression of type2 Diabetes Patient","Serum Fasting Blood Sugar(FBS), Change from baseline at 10 weeks","Serum Insulin, Change from baseline at 10 weeks|Serum HbA1C, Change from baseline at 10 weeks|Serum Resistin, Change from baseline at 10 weeks|Serum adiponectin, Change from baseline at 10 weeks|Serum mcp-1, Change from baseline at 10 weeks|Gene Expression of AdipoR1, Change from baseline at 10 weeks|Gene Expression of AdipoR2, Change from baseline at 10 weeks|Gene Expression of Sirt-1, Change from baseline at 10 weeks|Beck depression score, Change from baseline at 10 weeks|Serum cholesterol, Change from baseline at 10 weeks|Serum LDL cholesterol, Change from baseline at 10 weeks|Serum TG, Change from baseline at 10 weeks|Serum HDL cholesterol, Change from baseline at 10 weeks",
Effect of Glucose Control on the Response to Aspirin in Type 2 Diabetic Patients,"The outcome measure is the laboratory Aspirin Resistance., 3 and 6 months.","To determine the incidence of laboratory aspirin resistance in type 2 DM in stable out-patients in the diabetic clinic, and possibly related factors., On screening visit.",
"Altered Faecal Microbiome and Metabolome in CT1D, AT1D and T2D","Differences of β diversity of gut microbiota between diabetic groups and healthy control., β diversity is based on metagenome analysis and statistical significance is estimated by permutational multivariate analysis of variance., at baseline",,
Bioequivalence Study for Acarbose / Metformin FDC,"Ratio of postprandial maximum concentration (Cmax) of plasma glucose following sucrose load with (Day 1) and without acarbose (Day 0), within 4 hours after sucrose load|Ratio of postprandial Area Under the Curve (AUC(0 4)) of plasma glucose following sucrose load with (Day 1) and without acarbose (Day 0), within 4 hours after sucrose load|Cmax of metformin, within 24 hours after dosing|AUC(0-tn) of metformin, within 24 hours after dosing",,
Effect of Adding Vildagliptin on Beta Cell Function and Cardiovascular Risk Markers in Patients With Moderate Metabolic Control During Metformin Monotherapy,"Postprandial increase in intact proinsulin levels in patient treated with Vildagliptin and Metformin compared to intact proinsulin levels in patients treated with Glimepiride and Metformin (Area under the curve 0-300 min), One year","Fasting intact proinsulin levels, One year|Max postprandial intact proinsulin levels, One year|Retinal endothelial response to flicker light stimulation, One year|Mean 24h systolic and diastolic blood pressure, One year|Erythrocyte deformability, One year|E-selectin, One year|Change in body weight, One year|hsCRP, One year|HbA1c, One year|Fasting blood glucose, One year|Number of hypoglycemic events, One year|Adverse events, One year|Drug related adverse events, One year",
Effect of Pioglitazone on Mitochondrial Function in Muscle and Adipose Tissue in Humans,,,
A Study to Compare the Concentrations of LY2189265 After Different Methods of Administration to Healthy Volunteers.,"Dose Normalized Area Under the Concentration Time Curve (AUC) of LY2189265: Subcutaneous (SC) to Intravenous (IV), AUC is AUC from time zero to infinity. The results presented are Geometric Least Squares (LS) Mean. LS Mean values were controlled for participants, sequence, treatment, period and random error., Predose up to 336 hours postdose|Maximum Concentration (Cmax) of LY2189265: Subcutaneous (SC) to Intravenous (IV), The results presented are Geometric Least Squares (LS) Mean. LS Mean values were controlled for participants, sequence, treatment, period and random error., Predose up to 336 hours postdose","Area Under the Concentration Time Curve (AUC) of LY2189265: Intramuscular (IM) to Subcutaneous (SC), AUC is AUC from time zero to infinity. The results presented are Geometric Least Squares (LS) Mean. LS Mean values were controlled for participants, sequence, treatment, period and random error., Predose up to 336 hours postdose|)Maximum Concentration (Cmax) of LY2189265: Intramuscular (IM) to Subcutaneous (SC), The results presented are Geometric Least Squares (LS) Mean. LS Mean values were controlled for participants, sequence, treatment, period and random error., Predose up to 336 hours postdose",
Multicenter Research Study to Build a Repository to Study Chronic Diseases in Indiana,,,
Single Dose Escalation Study of PF-05190457 in Healthy Volunteers,"Safety and tolerability of PF-05190457 will be assessed by physical examinations, adverse event monitoring, 12-lead ECGs, continuous cardiac monitoring over the first 8 hours after dosing, vital sign and clinical safety laboratory measurements, 8 weeks|The single dose PK of PF-05190457 will be described by estimating parameters of AUC(0-infinity), AUC(0-last), AUC(0-24), Cmax, Tmax, CL/F, Vz/F and half-life (t1/2), as the data permit, 48 hour","PK of PF-05190457 in the fed condition will be described by estimating parameters of AUC(0-infinity), AUC(0-last), AUC(0-24), Cmax, Tmax, CL/F, Vz/F and half-life (t1/2),, 48 hour|Gastric half-emptying time (GET½), the duration of the lag phase (Tlag), gastric emptying coefficient (GEC), Day 1 for Periods 1 and 2, for Cohort 3.",
"Single-centre, Randomised, Double-blind, Placebo-controlled, Four-way Crossover Clinical Study to Investigate Safety and Tolerability and Pharmacokinetics of Single Doses of CM3.1-AC100 in Patients With Type 2 Diabetes","Safety measurements, AEs, ECGs, BP, pulse, body temperature, laboratory variables, local tolerability including a VAS score for local pain, Present Nausea Intensity (PNI) by a nausea questionnaire and a VAS score of the Overall Nausea Index (ONI), Safety will be monitored continously and safety assessments will be made on several occasions throughout the whole study","PK samples for CM3.1-AC100, Pharmacokinetics:

AUC, AUC0-4h, AUC0-t, Cmax, tmax, t1/2lz, λz, CL/F, Vz/F of CM3.1-AC100, Intense PK-sampling during the 24 hours following administration of CM3.1-AC100",
Mechanisms of Glycemic Improvement After Gastrointestinal Surgery,"Determine if the improvements in glycemic control occurring early after RYGB can be reversibly inactivated and activated through delivery or exclusion of nutrients in the bypassed proximal small intestine., 1/2010 - 6/2014","To evaluate whether improvements in glucose control occurring early after RYGB are related to altered insulin secretion, insulin sensitivity, or both., 1/2010-6/2014",
Treatment Options for Type 2 Diabetes in Adolescents and Youth (TODAY),"Treatment Failure (Loss of Glycemic Control), Defined as A1c persistently \>=8% over a 6-month period or persistent metabolic decompensation (inability to wean insulin within 3 months of initiation or the occurrence of a second episode within three months of discontinuing insulin), Study duration - 2 years to 6.5 years of follow up from randomization","Insulin Sensitivity, All participants were followed to 24 months. Insulin sensitivity is measured from OGTT as inverse of fasting insulin (mL/uU). The analysis sample includes only participants with 24 month data who had not experienced the primary outcome by that time., 24 months|Number of Serious Adverse Events, Number of serious adverse events reported during the trial. Participant could have multiple episodes reported., Reported as occurred during study follow-up - 2 years to 6.5 years from randomization.|Insulin Secretion, Insulinogenic index determined from OGTT as difference in insulin at 30 minutes minus 0 minutes divided by difference in glucose at 30 minutes minus 0 minutes. The analysis sample includes only participants with 24 month data who had not experienced the primary outcome by that time., 24 months|Body Composition -- BMI, Body mass index (BMI) measured in kg per meters squared. The analysis sample includes only participants with 24 month data who had not experienced the primary outcome by that time., 24 months|Body Composition -- Waist Circumference, Waist circumference (cm) measured at the iliac crest at its outermost point with the measuring tape placed around the participant in a horizontal plane parallel to the floor at the mark and the measurement teken at the end of normal expiration without the tape compressing the skin. The analysis sample includes only participants with 24 month data who had not experienced the primary outcome by that time., 24 months|Body Composition -- Bone Density, Measured by DXA, both whole body scan and AP-spine scan. The analysis sample includes only participants with 24 month data who had not experienced the primary outcome by that time. In addition, in about 1/3 of participants DXA scans could not be obtained on participants weighing more than 300 pounds (136 kg), the upper limit in size set by the machine manufacturers. Scans were considered invalid if a body part (e.g., arm, leg) was completely off or partially off the scanner, there was hand-hip overlap, or there was motion or movement during the scan., 24 months|Body Composition -- Fat Mass, Determined by DXA whole body scan. The analysis sample includes only participants with 24 month data who had not experienced the primary outcome by that time. In addition, in about 1/3 of participants DXA scans could not be obtained on participants weighing more than 300 pounds (136 kg), the upper limit in size set by the machine manufacturers. Scans were considered invalid if a body part (e.g., arm, leg) was completely off or partially off the scanner, there was hand-hip overlap, or there was motion or movement during the scan., 24 months|Comorbidity -- Hypertension, A diagnosis was made by an out-of-range value \>=95th percentile or systolic \>=130 or diastolic \>=80 sustained over 6 months or on an anti-hypertensive medication., Data collected at baseline and during follow-up - 2 years to 6.5 years from randomization.|Comorbidity -- LDL Dyslipidemia, A diagnosis was made from out-of-range value \>= 130 mg/dL sustained over 6 months or put on lipid lowering medication., Data collected at baseline and during follow-up - 2 years to 6.5 years from randomization.|Comorbidity -- Triglycerides Dyslipidemia, A diagnosis was made by an out-of-range value \>=150 mg/dL sustained over 6 months or on appropriate lipid lowering medication., Data collected at baseline and during follow-up - 2 years to 6.5 years from randomization.",
Comparison of Apidra to Regular Insulin in Hospitalized Patients,"Hypoglycemic events, up to 60 days",,
"Community-based, eHealth Supported Type 2 Diabetes Care by Lay Village Health Workers in Rural Lesotho","Mean HbA1c (in percent), Mean HbA1c (in percent), 12 months after enrolment","Change in 10-year CVD risk estimated, Change in 10-year CVD risk estimated using the World Health Organization (WHO) CVD risk prediction tool, 6 and 12 months after enrolment|Mean HbA1c (in percent), Mean HbA1c (in percent), 6 months after enrolment|Change in mean fasting blood glucose (FBG) (mmol/l), Change in mean fasting blood glucose (FBG) (mmol/l), 6 and 12 months after enrolment|Change in proportion of participants with an HbA1c below 8%, Change in proportion of participants with an HbA1c below 8%, 6 and 12 months after enrolment|Change in proportion of participants with an FBG below 7 mmol/l, Change in proportion of participants with an FBG below 7 mmol/l, 6 and 12 months after enrolment|Change in number of CVD risk factors, Change in number of CVD risk factors (such as smoking status, BMI, abdominal circumference, blood lipid status, blood pressure, dietary habits and physical activity), 6 and 12 months after enrolment|Linkage to care: Change in proportion of participants not taking treatment at enrolment who have initiated pharmacological antidiabetic treatment, Change in proportion of participants not taking treatment at enrolment who have initiated pharmacological antidiabetic treatment, 6 and 12 months after enrolment|Engagement in care: Change in proportion of participants who are engaged in care, Change in proportion of participants who are engaged in care, defined as reporting intake of antidiabetic medication as per prescription of a healthcare provider or reaching treatment targets without intake of medication, 6 and 12 months after enrolment|Change in self-reported adherence to antidiabetic medication, Change in self-reported adherence to antidiabetic medication, 6 and 12 months after enrolment|Occurrence of Serious Adverse Events (SAEs) and Adverse Events of Special Interest (AESIs), Occurrence of Serious Adverse Events (SAEs) and Adverse Events of Special Interest (AESIs), within 6 and 12 months after enrolment","Number of consultations (at a health facility and with the CC-VHW), Number of consultations at a health facility and with the CC-VHW, within 6 and 12 months after enrolment|Trajectory of participants between facility-based and community-based care in the intervention villages, Trajectory of participants between facility-based and community-based care in the intervention villages (i.e. number of participants accepting community-based care at baseline, number of people switching to facility-based care and back to community-based care, during the study period (up to 12 months)|Proportion of participants with T2D who stop drug treatment or interrupt drug treatment for more than three weeks or require a switch of drug treatment due to (perceived) adverse events (AEs), Proportion of participants with T2D who stop drug treatment or interrupt drug treatment for more than three weeks or require a switch of drug treatment due to (perceived) adverse events (AEs), within 6 and 12 months after enrolment|Change in proportion of participants who are reaching treatment targets (FBG <7 mmol/l) and are reporting no intake of antidiabetic medication in the two weeks prior to assessment, Change in proportion of participants who are reaching treatment targets (FBG \<7 mmol/l) and are reporting no intake of antidiabetic medication in the two weeks prior to assessment, 6 and 12 months after enrolment|Change in proportion of participants accessing lipid-lowering medication, Change in proportion of participants accessing lipid-lowering medication, 6 and 12 months after enrolment|Change in health system costs for the management of participants condition, Change in health system costs for the management of participants condition, within 6 and 12 months after diagnosis|Change in individual costs for participants for the management of their condition, Change in individual costs for participants for the management of their condition, within 6 and 12 months after diagnosis|Change in10-year CVD risk estimated using the Globorisk score, Change in10-year CVD risk estimated using the Globorisk score, a cardiovascular disease risk score that predicts risk of heart attack or stroke in healthy individuals for all countries in the world. It uses information on a person's country of residence, age, sex, smoking, diabetes, blood pressure and cholesterol to predict the chance that they would have a heart attack or stroke in the next 10 years., 6 and 12 months after enrolment|Change in10-year CVD risk estimated using the Framingham Risk Score, Change in10-year CVD risk estimated using the Framingham Risk Score, a sex-specific algorithm used to estimate the 10-year cardiovascular risk of an individual. The Framingham Risk Score was first developed based on data obtained from the Framingham Heart Study., 6 and 12 months after enrolment|Quality of life (QOL) using the EQ-5D-5L instrument, The EQ-5D-5L is a self-assessed, health related, quality of life questionnaire. The scale measures quality of life on a 5-component scale including mobility, self-care, usual activities, pain/discomfort, and anxiety/depression. The QOL scores are summed so that a higher score indicates higher quality of life., 12 months after enrolment|Health beliefs using the Beliefs about Medicines Questionnaire (BMQ) adapted for people living with T2D, The BMQl comprises two 4-item factors assessing beliefs that medicines are harmful, addictive, poisons which should not be taken continuously and that medicines are overused by doctors.The items are scored on a 5 point Likert scale with scores ranging from 4 to 20., 12 months after enrolment|Diabetes distress using the five item version of the ""Problem Areas in Diabetes"" (PAID-5) scale Problem Areas in Diabetes Scale-Five-item Short Form, Problem Areas in Diabetes Scale-Five-item Short Form. Total scores on the PAID-5 can range from 0 to 20, with higher scores suggesting greater diabetes-related emotional distress., 12 months after enrolment|Change in dosage of antidiabetic medications prescribed by CC-VHWs or healthcare professionals, Change in dosage of antidiabetic medications prescribed by CC-VHWs or healthcare professionals, 6 and 12 months after enrolment|Change in dosage of lipid-lowering medications prescribed by CC-VHWs or healthcare professionals, Change in dosage of lipid-lowering medications prescribed by CC-VHWs or healthcare professionals, 6 and 12 months after enrolment"
